Date,AADR,ABEQ,ACGR,AESR,AFLG,AFMC,AFSM,AIVI,AIVL,AMOM,AMZA,ARKF,ARKG,ARKK,ARKQ,ARKW,AVDE,AVDV,AVEM,AVUS,AVUV,BAPR,BATT,BAUG,BDEC,BFEB,BJAN,BJUL,BJUN,BLOK,BNOV,BOCT,BSEP,BUYZ,CCOR,CNBS,CWS,DAUG,DFNL,DGRE,DINT,DIVI,DIVO,DSTL,DUSA,DWAW,DWLD,DWMF,DWSH,DWUS,DYNF,ECLN,EJAN,EJUL,EMLP,EMMF,EQIN,ERUS,EYLD,FAUG,FM,FTHI,FYLD,GVAL,HDGE,HDMV,HELX,HUSV,IEDI,IETC,IJAN,IJUL,IMOM,INEQ,IQM,IVAL,KJAN,KOCT,LRGE,MOTO,NJAN,NOCT,NUSI,OSCV,OVF,OVL,OVS,PAPR,PAUG,PDEC,PFEB,PHDG,PJAN,PJUL,PJUN,PNOV,POCT,PSC,PSEP,QMOM,QQQH,QRFT,QVAL,RFDA,RFDI,RFEM,RFEU,RFFC,SECT,SMCP,SSUS,SURE,SYLD,TMFS,TOKE,TTAC,TTAI,UAPR,UAUG,UDEC,UFEB,UJAN,UJUL,UJUN,UMI,UOCT,USEP,UTES,VFMF,VFMO,VFMV,VFQY,VFVA,VICE,VMOT,VWID,WBIF,WBIG,WBIL,WTV,XLSR,YLDE,YOLO
2020-01-01,50.213768005371094,22.954782485961914,29.07966423034668,9.241174697875977,19.093687057495117,18.891605377197266,18.92341423034668,32.4032096862793,77.69237518310547,20.90578269958496,22.428375244140625,25.145343780517578,32.2523307800293,50.14860916137695,37.93954086303711,60.67661666870117,45.80457305908203,45.14556121826172,45.075767517089844,50.176185607910156,45.4284553527832,27.94499969482422,9.163105010986328,26.60700035095215,26.93899917602539,,29.110000610351562,27.670000076293945,28.312999725341797,15.208980560302734,26.704999923706055,26.229999542236328,25.952999114990234,,26.06216812133789,151.5959930419922,37.0207633972168,30.659000396728516,21.965721130371094,21.33616065979004,17.23326873779297,21.06971549987793,23.230411529541016,28.439855575561523,24.029083251953125,24.414295196533203,23.611087799072266,21.81357765197754,21.067113876342773,25.435787200927734,25.413135528564453,19.772315979003906,26.176000595092773,25.340999603271484,20.995044708251953,19.210784912109375,25.52959632873535,22.920190811157227,23.013776779174805,30.95800018310547,27.813825607299805,15.263428688049316,17.7459774017334,18.483835220336914,45.860504150390625,28.870729446411133,,26.09296226501465,28.955841064453125,32.85474395751953,24.197999954223633,23.384000778198242,22.741979598999023,21.187734603881836,,22.254627227783203,26.389999389648438,25.082000732421875,36.91191864013672,23.346912384033203,35.369998931884766,32.56800079345703,18.403533935546875,25.015424728393555,20.1461124420166,22.815168380737305,21.751792907714844,26.125,25.77899932861328,26.792999267578125,,26.361656188964844,28.416000366210938,26.739999771118164,27.285999298095703,26.264999389648438,25.219999313354492,29.685138702392578,25.74799919128418,32.95844650268555,41.28266525268555,26.82942008972168,25.958471298217773,30.668720245361328,48.48602294921875,50.832603454589844,51.09147262573242,33.07200241088867,29.013568878173828,23.51568031311035,23.44228744506836,69.94717407226562,33.490779876708984,24.558813095092773,12.052581787109375,38.06682586669922,24.93673324584961,26.32900047302246,25.875,26.66200065612793,,27.899999618530273,25.257999420166016,26.1560001373291,21.99745750427246,24.940000534057617,25.344999313354492,38.73369216918945,71.04957580566406,82.48274993896484,83.69585418701172,77.64799499511719,64.59964752197266,23.2154541015625,22.693941116333008,20.226146697998047,25.189586639404297,21.442523956298828,25.667631149291992,41.52610397338867,30.566287994384766,30.059268951416016,10.364357948303223
2020-02-01,46.06271743774414,21.361909866333008,26.695770263671875,8.40364933013916,17.257225036621094,17.095569610595703,17.083251953125,29.49885368347168,69.7138442993164,19.381214141845703,17.872451782226562,24.56751823425293,33.9088249206543,51.155452728271484,36.28323745727539,60.63820266723633,41.889366149902344,40.435020446777344,43.130428314208984,45.542972564697266,40.307647705078125,26.1200008392334,8.292523384094238,25.023000717163086,25.222000122070312,22.90999984741211,27.110000610351562,26.010000228881836,26.847999572753906,14.395793914794922,24.922000885009766,24.600000381469727,24.56999969482422,24.176504135131836,25.617462158203125,129.47999572753906,33.45537567138672,29.652000427246094,19.68726921081543,20.41054344177246,16.486024856567383,19.74016571044922,21.187049865722656,25.93707275390625,22.20988655090332,22.984331130981445,22.494476318359375,20.12253189086914,23.493335723876953,23.514530181884766,23.15329360961914,18.2587890625,25.49799919128418,24.849000930786133,19.19780158996582,18.236839294433594,22.712568283081055,20.020017623901367,20.857315063476562,29.239999771118164,24.952505111694336,13.951493263244629,15.79444408416748,16.422019958496094,47.97584533691406,26.64305877685547,24.338781356811523,23.720876693725586,26.614410400390625,30.645824432373047,23.128999710083008,22.530000686645508,20.778953552246094,19.45108413696289,23.974834442138672,20.083250045776367,25.09000015258789,23.94099998474121,33.69887924194336,22.47695541381836,34.349998474121094,31.68400001525879,17.675830841064453,22.255023956298828,18.16340446472168,20.7845458984375,18.992063522338867,25.1200008392334,24.83099937438965,25.520000457763672,23.540000915527344,26.14619255065918,27.014999389648438,25.719999313354492,26.472999572753906,25.05299949645996,24.260000228881836,26.898820877075195,24.840999603271484,30.874555587768555,39.13429641723633,24.71135711669922,23.015478134155273,28.071428298950195,44.283287048339844,48.20165252685547,46.181884765625,29.8712215423584,26.534591674804688,21.542362213134766,21.444713592529297,63.750404357910156,30.19921875,23.615127563476562,10.146401405334473,34.83244705200195,22.918399810791016,25.204999923706055,25.013999938964844,25.790000915527344,23.738000869750977,27.059999465942383,24.3439998626709,25.36199951171875,19.135602951049805,24.239999771118164,24.711000442504883,34.87739944458008,63.44483947753906,76.42467498779297,76.62781524658203,70.29397583007812,57.14371109008789,21.36543083190918,20.552766799926758,18.596458435058594,24.13308334350586,20.529144287109375,24.736160278320312,37.084861755371094,27.986236572265625,27.364953994750977,8.651829719543457
2020-03-01,37.63001251220703,18.929058074951172,25.383182525634766,7.6155476570129395,14.84647274017334,13.634350776672363,13.20016860961914,24.687036514282227,56.3188362121582,18.123680114746094,6.318081855773926,20.31353187561035,30.84233856201172,42.59727478027344,32.61458969116211,50.64869689941406,34.744564056396484,31.460918426513672,34.80315017700195,37.96733093261719,28.56310272216797,24.81999969482422,5.874236583709717,22.759000778198242,23.124000549316406,21.156999588012695,24.700000762939453,23.760000228881836,24.993000030517578,12.374908447265625,23.07200050354004,22.399999618530273,22.575000762939453,21.22759246826172,26.759248733520508,105.09600067138672,30.101573944091797,27.899999618530273,14.867802619934082,16.753366470336914,13.920184135437012,17.573198318481445,19.26310920715332,23.199949264526367,18.135103225708008,21.334962844848633,18.37160301208496,17.811161041259766,30.387561798095703,21.385147094726562,20.000629425048828,16.455781936645508,22.847000122070312,22.75,14.53314208984375,15.761775016784668,17.976890563964844,15.294829368591309,16.986820220947266,27.02199935913086,19.39337730407715,11.808433532714844,12.347002983093262,12.411149978637695,58.55252456665039,22.302526473999023,22.285390853881836,20.010452270507812,23.231727600097656,27.96045684814453,21.239999771118164,20.93000030517578,17.744403839111328,16.251781463623047,20.579092025756836,16.52791976928711,21.6200008392334,21.197999954223633,31.201778411865234,18.144451141357422,32.98099899291992,30.725000381469727,17.4227352142334,17.448345184326172,16.50290298461914,18.016345977783203,14.947592735290527,24.15999984741211,23.020000457763672,23.79400062561035,21.670000076293945,27.44835090637207,25.059999465942383,23.93000030517578,24.923999786376953,23.43600082397461,22.579999923706055,20.153051376342773,23.17099952697754,24.91839599609375,38.57426452636719,22.504043579101562,16.500802993774414,24.068758010864258,37.99171447753906,39.53940963745117,38.88846969604492,24.97748374938965,23.15937042236328,16.980098724365234,20.069507598876953,53.969051361083984,22.262300491333008,19.186717987060547,8.464188575744629,29.583852767944336,19.603290557861328,24.63800048828125,23.639999389648438,24.611000061035156,22.469999313354492,25.674999237060547,23.020000457763672,24.065000534057617,13.945466995239258,23.0,23.479999542236328,31.520002365112305,51.24296188354492,64.2286605834961,64.73324584960938,59.12339782714844,41.69276809692383,18.03727912902832,19.193164825439453,15.837837219238281,23.6700439453125,20.140161514282227,24.25595474243164,29.51559066772461,24.911054611206055,24.162185668945312,6.894706726074219
2020-04-01,42.90045166015625,20.56781578063965,27.697397232055664,8.4951810836792,16.751468658447266,15.629148483276367,15.536168098449707,26.50323486328125,63.40106201171875,20.43430519104004,10.942500114440918,24.129167556762695,40.12067413330078,53.566070556640625,38.80113220214844,63.09715270996094,37.59548568725586,35.34626388549805,38.02172088623047,43.31543731689453,34.557029724121094,26.614999771118164,6.850345134735107,24.957000732421875,25.200000762939453,22.79800033569336,27.079999923706055,26.0,26.841999053955078,14.484359741210938,24.964000701904297,24.520000457763672,24.409000396728516,25.599876403808594,27.034456253051758,117.3479995727539,33.405189514160156,29.615999221801758,16.242887496948242,18.280254364013672,15.157804489135742,18.193445205688477,21.6230411529541,26.41513442993164,20.83173179626465,24.330577850341797,20.81955909729004,18.756956100463867,21.47718048095703,24.242979049682617,22.324440002441406,17.501012802124023,24.259000778198242,23.989999771118164,16.878538131713867,17.27643394470215,20.462610244750977,17.1915225982666,18.490928649902344,29.35300064086914,20.601486206054688,12.986477851867676,13.569034576416016,13.114935874938965,49.329654693603516,23.276968002319336,26.882352828979492,22.34443473815918,27.00242042541504,32.424041748046875,22.350000381469727,21.92300033569336,19.743040084838867,17.418977737426758,23.967849731445312,18.163419723510742,23.652999877929688,22.635000228881836,35.526241302490234,21.46321678161621,35.099998474121094,32.459999084472656,19.035051345825195,19.246723175048828,17.44082260131836,20.505126953125,17.034366607666016,25.170000076293945,24.79800033569336,25.520000457763672,23.15999984741211,28.13178825378418,26.889999389648438,25.923999786376953,26.6200008392334,25.179000854492188,24.209999084472656,23.8250732421875,24.860000610351562,29.56031608581543,42.14362716674805,25.77662467956543,19.22874641418457,27.064851760864258,40.87078857421875,42.40728759765625,42.25228500366211,28.464693069458008,25.35633087158203,18.852739334106445,21.40605354309082,60.63295364379883,26.647350311279297,22.59318733215332,9.428407669067383,33.59001922607422,21.00634765625,23.760000228881836,24.986000061035156,25.924999237060547,23.704999923706055,26.899999618530273,24.350000381469727,25.559999465942383,16.31639862060547,24.219999313354492,24.68899917602539,32.62320327758789,58.00636672973633,73.097900390625,70.19953155517578,67.95033264160156,50.00995635986328,20.71744728088379,19.910329818725586,17.51447296142578,23.771154403686523,20.213031768798828,24.45954704284668,34.099369049072266,27.87578773498535,27.119827270507812,7.845012187957764
2020-05-01,45.792198181152344,21.0135555267334,29.036176681518555,8.895181655883789,17.6048641204834,16.12687873840332,15.838859558105469,27.412778854370117,64.63174438476562,22.445409774780273,12.454943656921387,28.21379280090332,45.69162368774414,60.81728744506836,44.12214660644531,72.1261215209961,39.685585021972656,37.71012878417969,39.18717956542969,45.739994049072266,36.26094055175781,27.40999984741211,7.40435266494751,25.802000045776367,26.132999420166016,23.613000869750977,28.007999420166016,26.760000228881836,27.76099967956543,15.474674224853516,25.875,25.520000457763672,25.27199935913086,30.93033218383789,26.6477108001709,137.50799560546875,35.105709075927734,30.309999465942383,16.614025115966797,19.058116912841797,15.962958335876465,19.130855560302734,22.209253311157227,28.317996978759766,21.256927490234375,25.93086814880371,21.563013076782227,19.5747013092041,19.486652374267578,25.73030662536621,23.647506713867188,18.12860679626465,24.891000747680664,24.527999877929688,17.649892807006836,17.59935760498047,21.403589248657227,18.950368881225586,19.614301681518555,30.28700065612793,21.419010162353516,13.21682071685791,14.495776176452637,13.612401008605957,44.083621978759766,23.900127410888672,29.553449630737305,23.463973999023438,28.87278938293457,34.749691009521484,23.007999420166016,22.472999572753906,21.86391258239746,18.138362884521484,26.651905059814453,19.31075096130371,24.51300048828125,23.44700050354004,38.1080322265625,23.028413772583008,35.965999603271484,32.95000076293945,19.427200317382812,20.35475730895996,18.062116622924805,21.696651458740234,17.93946647644043,25.93000030517578,25.43400001525879,26.285999298095703,23.915000915527344,28.760692596435547,27.739999771118164,26.40999984741211,27.950000762939453,25.950000762939453,24.90999984741211,24.91058349609375,25.531999588012695,33.20826721191406,42.45261001586914,27.920602798461914,20.106523513793945,28.340415954589844,43.407135009765625,43.72812271118164,44.87533950805664,29.847064971923828,26.75165367126465,19.96921157836914,22.720378875732422,63.09259033203125,28.0841064453125,25.41503143310547,10.697184562683105,35.94220733642578,22.687992095947266,24.073999404907227,25.488000869750977,26.385000228881836,24.1560001373291,27.510000228881836,24.850000381469727,26.7189998626709,16.275590896606445,24.75,25.131000518798828,33.89152908325195,60.949920654296875,78.92298126220703,72.90144348144531,71.90082550048828,51.77826690673828,21.8378963470459,20.625356674194336,18.49213409423828,24.612194061279297,20.781465530395508,25.436229705810547,35.94667053222656,28.992259979248047,27.84130859375,9.74958324432373
2020-06-01,49.43019485473633,20.88151741027832,28.686931610107422,9.109368324279785,17.768754959106445,16.079383850097656,16.17229461669922,28.100868225097656,64.95565795898438,23.66173553466797,10.809884071350098,31.461566925048828,51.43019104003906,69.03662109375,46.53185272216797,81.50088500976562,40.62131118774414,38.200096130371094,41.447967529296875,46.579261779785156,37.31090545654297,27.60300064086914,7.969791412353516,26.149999618530273,26.39900016784668,23.961999893188477,28.36199951171875,26.989999771118164,28.114999771118164,16.247604370117188,26.22599983215332,25.889999389648438,25.659000396728516,35.39982223510742,26.166643142700195,131.55599975585938,34.345001220703125,30.45800018310547,16.48319435119629,19.826379776000977,17.05579948425293,18.599653244018555,22.317726135253906,28.449230194091797,21.70077133178711,26.857553482055664,22.513561248779297,19.821727752685547,16.5384521484375,26.998708724975586,23.622270584106445,17.54225730895996,25.593000411987305,24.770000457763672,16.538484573364258,18.173437118530273,21.376558303833008,18.454145431518555,20.217754364013672,30.71299934387207,21.982189178466797,13.523396492004395,14.81241226196289,14.205156326293945,41.03753662109375,24.149564743041992,30.62647247314453,23.55849838256836,29.675172805786133,36.891990661621094,23.29400062561035,22.579999923706055,22.682085037231445,18.213544845581055,28.263935089111328,19.397281646728516,24.958999633789062,23.933000564575195,39.28584671020508,24.692800521850586,36.45500183105469,33.301998138427734,20.067903518676758,20.68491554260254,18.15382957458496,22.09941864013672,18.525266647338867,25.93000030517578,25.7189998626709,26.5049991607666,24.239999771118164,29.079835891723633,28.0,26.75,28.07200050354004,26.076000213623047,25.18000030517578,25.690507888793945,25.829999923706055,34.19233322143555,43.852684020996094,28.791046142578125,20.49054527282715,28.997989654541016,44.80317306518555,45.948795318603516,45.44640350341797,30.667139053344727,27.223176956176758,19.401180267333984,23.184255599975586,63.21652603149414,28.735153198242188,26.349512100219727,10.228470802307129,36.3987922668457,23.508888244628906,24.191999435424805,25.719999313354492,26.527000427246094,24.37299919128418,27.707000732421875,25.334999084472656,26.760000228881836,16.283756256103516,24.920000076293945,25.340999603271484,32.0513801574707,61.650691986083984,81.87506103515625,71.80887603759766,73.3409423828125,52.6592903137207,21.6007137298584,20.69422721862793,18.758909225463867,24.200178146362305,20.513648986816406,25.15538215637207,36.10251998901367,29.5034122467041,27.82370948791504,9.25076675415039
2020-07-01,52.965599060058594,21.764192581176758,29.8088436126709,9.620121955871582,18.778535842895508,16.991945266723633,16.992855072021484,28.55656623840332,66.93938446044922,26.538135528564453,10.605634689331055,36.1240119934082,52.948646545410156,77.80780029296875,51.91188049316406,95.56303405761719,42.00857925415039,39.032188415527344,45.11358642578125,49.03780746459961,38.44341278076172,28.222000122070312,8.802560806274414,27.280000686645508,27.371999740600586,24.83099937438965,29.54400062561035,27.920000076293945,28.990999221801758,18.535795211791992,27.16699981689453,26.84000015258789,26.660999298095703,39.66596984863281,26.09970474243164,142.88400268554688,37.60531997680664,31.399999618530273,16.97715187072754,21.691116333007812,17.905786514282227,18.956005096435547,22.9337215423584,29.892780303955078,22.713403701782227,28.921667098999023,23.611087799072266,20.04239273071289,16.564937591552734,28.804122924804688,24.618072509765625,19.055294036865234,26.784000396728516,25.270000457763672,17.268779754638672,19.58727264404297,21.887598037719727,19.366043090820312,21.688810348510742,31.74799919128418,22.233600616455078,13.921878814697266,15.33969497680664,14.418647766113281,39.93756103515625,24.39769172668457,34.03583526611328,25.279088973999023,32.01761245727539,39.29207229614258,23.618999481201172,22.799999237060547,23.53877830505371,18.183826446533203,31.1516170501709,19.14054298400879,25.406999588012695,24.30299949645996,41.78680419921875,26.6593074798584,36.95000076293945,33.64099884033203,20.465288162231445,21.612415313720703,18.789297103881836,23.399503707885742,19.398666381835938,26.34000015258789,26.780000686645508,27.155000686645508,24.81100082397461,30.12061309814453,28.81999969482422,27.3799991607666,28.809999465942383,26.663999557495117,25.780000686645508,26.49955940246582,26.3799991607666,38.58697509765625,44.430145263671875,30.717172622680664,21.4704647064209,30.40510368347168,46.48991394042969,51.03846740722656,47.86042404174805,32.09629821777344,29.03203582763672,20.782081604003906,24.38260841369629,65.38063049316406,29.731163024902344,27.678955078125,10.781670570373535,38.56572341918945,24.472070693969727,24.3700008392334,26.959999084472656,26.959999084472656,24.844999313354492,28.264999389648438,25.62299919128418,27.25,17.06719398498535,25.389999389648438,25.920000076293945,35.34954071044922,64.7243423461914,87.63031768798828,74.75674438476562,76.57242584228516,54.76649856567383,23.476356506347656,21.46102523803711,18.849815368652344,25.120601654052734,21.216901779174805,25.83867645263672,37.68962860107422,31.1243953704834,29.3974552154541,10.570319175720215
2020-08-01,52.862979888916016,22.280689239501953,31.09471321105957,10.398152351379395,19.884441375732422,17.52860450744629,17.78635597229004,29.725080490112305,68.75836181640625,29.51199722290039,10.669957160949707,40.21860122680664,61.048702239990234,92.29086303710938,59.49507141113281,108.03070831298828,44.38942337036133,41.75778579711914,46.3316764831543,52.609371185302734,41.6408805847168,28.774999618530273,9.347776412963867,28.360000610351562,28.485000610351562,25.815000534057617,30.68000030517578,28.829999923706055,29.780000686645508,20.474557876586914,28.17300033569336,27.809999465942383,27.549999237060547,43.107852935791016,26.342411041259766,148.1999969482422,39.10606002807617,32.1879997253418,17.898324966430664,21.640094757080078,19.24148178100586,19.422815322875977,24.534618377685547,31.626914978027344,24.346113204956055,31.11280632019043,25.57708740234375,20.779932022094727,15.12116527557373,31.936840057373047,26.156131744384766,18.892967224121094,27.19499969482422,25.363000869750977,17.0753116607666,19.794593811035156,22.887882232666016,19.54973602294922,21.9646053314209,33.05099868774414,23.839052200317383,13.907852172851562,16.449909210205078,14.695455551147461,36.806861877441406,25.321924209594727,35.35893249511719,26.07864761352539,35.2852668762207,43.534385681152344,24.12700080871582,23.121999740600586,24.541292190551758,19.496551513671875,35.06740188598633,20.718149185180664,26.299999237060547,24.959999084472656,45.9024543762207,29.812448501586914,37.395999908447266,33.7599983215332,21.084545135498047,22.685028076171875,19.442724227905273,25.433652877807617,20.39529800415039,26.73900032043457,27.424999237060547,27.753000259399414,25.299999237060547,32.28350830078125,29.43000030517578,27.945999145507812,29.139999389648438,27.19499969482422,26.15999984741211,27.825803756713867,26.760000228881836,40.10247039794922,46.07347106933594,32.74501419067383,22.38077735900879,32.362430572509766,48.49174880981445,51.27367401123047,50.143760681152344,33.9990234375,30.836837768554688,21.47987937927246,26.30770492553711,67.93560028076172,31.973329544067383,30.083738327026367,10.709595680236816,41.18498992919922,25.975318908691406,24.559999465942383,27.280000686645508,27.51799964904785,25.319000244140625,28.850000381469727,25.895000457763672,27.457000732421875,17.61775016784668,25.81999969482422,26.309999465942383,34.620819091796875,67.78916931152344,91.85200500488281,77.84619140625,80.98014068603516,57.633846282958984,25.009506225585938,22.241207122802734,19.56070899963379,26.45870018005371,22.301841735839844,27.01416778564453,39.29707717895508,34.13774871826172,30.99407196044922,11.486291885375977
2020-09-01,51.557037353515625,21.983938217163086,30.705053329467773,10.013713836669922,19.15884017944336,16.901390075683594,17.33953857421875,28.796676635742188,67.1493148803711,28.278236389160156,8.739754676818848,39.501304626464844,62.81858444213867,89.06703186035156,56.4460563659668,104.3134536743164,43.43709182739258,40.90117263793945,45.66083908081055,50.61581039428711,39.57083511352539,28.56800079345703,9.083962440490723,27.802000045776367,28.07699966430664,25.392000198364258,30.15999984741211,28.34000015258789,29.48699951171875,19.73383331298828,27.90999984741211,27.889999389648438,26.81999969482422,42.15563201904297,26.28268051147461,135.0,38.402435302734375,31.82699966430664,16.95490264892578,21.288223266601562,18.70907211303711,19.565452575683594,24.3259334564209,30.586441040039062,23.510644912719727,29.963830947875977,24.6036319732666,20.53122901916504,16.265932083129883,30.488780975341797,25.34186553955078,18.541263580322266,27.093000411987305,25.31999969482422,16.015466690063477,19.5241756439209,22.038469314575195,18.069034576416016,21.42523193359375,32.319000244140625,23.885723114013672,13.478617668151855,15.566425323486328,14.027853965759277,37.991455078125,24.84420394897461,34.98133087158203,25.418550491333008,34.37226867675781,40.992862701416016,24.0,22.950000762939453,24.843175888061523,18.884231567382812,34.10517501831055,20.009836196899414,25.923999786376953,23.959999084472656,44.11935806274414,29.360179901123047,37.39799880981445,33.90700149536133,19.264080047607422,21.90460205078125,19.207393646240234,24.340030670166016,19.372644424438477,26.634000778198242,27.04800033569336,27.65999984741211,25.260000228881836,31.023387908935547,29.31999969482422,27.67300033569336,29.031999588012695,27.143999099731445,26.40999984741211,26.466121673583984,26.280000686645508,40.33888244628906,42.370574951171875,31.635604858398438,22.502151489257812,31.375110626220703,47.8050422668457,50.269065856933594,49.699100494384766,33.10139846801758,30.128501892089844,20.81723976135254,25.39154624938965,66.26725006103516,31.074129104614258,28.278310775756836,9.272323608398438,39.84862518310547,25.838176727294922,24.52899932861328,27.017000198364258,27.327999114990234,25.089000701904297,28.572999954223633,25.75,27.30900001525879,16.672765731811523,25.969999313354492,26.018999099731445,34.300968170166016,65.26065826416016,90.61554718017578,75.3830337524414,77.88358306884766,55.3139762878418,24.837787628173828,22.22670555114746,18.718669891357422,24.691577911376953,20.79604148864746,25.467111587524414,38.18244934082031,32.90808868408203,30.415006637573242,9.828380584716797
2020-10-01,49.82804870605469,21.692821502685547,30.070213317871094,9.639311790466309,18.592636108398438,17.115924835205078,17.325109481811523,27.735885620117188,65.76571655273438,27.21405029296875,9.08611011505127,40.73665237426758,64.82018280029297,87.89559936523438,56.79030227661133,106.43621826171875,42.07913589477539,39.64653015136719,45.96095657348633,50.20545196533203,41.5798454284668,28.323999404907227,9.570258140563965,27.239999771118164,27.56399917602539,24.920000076293945,29.829999923706055,27.829999923706055,29.049999237060547,20.0317325592041,27.3799991607666,27.239999771118164,26.329999923706055,41.96122360229492,25.62624740600586,142.74000549316406,37.648616790771484,31.440000534057617,17.168508529663086,21.636415481567383,19.261096954345703,18.81822967529297,23.47964859008789,29.80841827392578,23.55353546142578,29.4095516204834,25.109447479248047,19.880157470703125,15.368913650512695,29.178165435791016,24.829524993896484,19.37801742553711,27.209999084472656,25.475000381469727,16.729461669921875,19.695613861083984,22.23943328857422,16.571632385253906,21.79145622253418,31.780000686645508,24.52977180480957,13.183588027954102,15.539519309997559,13.010994911193848,37.56838607788086,23.961185455322266,35.408748626708984,24.943851470947266,33.40805435180664,39.76209259033203,23.64299964904785,22.601999282836914,24.32937240600586,18.440229415893555,33.31962203979492,19.237625122070312,26.110000610351562,24.1299991607666,42.19096755981445,29.393848419189453,37.37099838256836,33.34000015258789,19.55878448486328,22.283597946166992,18.44964027404785,23.12189483642578,19.44485092163086,26.434999465942383,26.711000442504883,27.341999053955078,24.89699935913086,30.63783073425293,28.950000762939453,27.31999969482422,28.753000259399414,27.389999389648438,26.1200008392334,26.714284896850586,25.969999313354492,38.64175033569336,43.29723358154297,30.967655181884766,21.873313903808594,30.070693969726562,46.25749969482422,51.06623458862305,47.24622344970703,32.35465621948242,29.095399856567383,20.997543334960938,24.643539428710938,64.62747955322266,31.34305191040039,29.636293411254883,9.40451717376709,38.851200103759766,25.225332260131836,24.43000030517578,26.849000930786133,27.016000747680664,24.7810001373291,28.243000030517578,25.551000595092773,27.117000579833984,17.08832359313965,25.739999771118164,25.770000457763672,35.916019439697266,65.25712585449219,88.4708480834961,73.9029312133789,77.9636459350586,56.61262130737305,25.657489776611328,21.727779388427734,17.87736701965332,23.76017951965332,20.02056884765625,24.600204467773438,38.18937301635742,31.741079330444336,29.502653121948242,10.449904441833496
